8801, 3月31日,三井不動産株式会社,不動産業,東証1部,三菱地所と並ぶ総合不動産の双璧。ビル賃貸主力。マンション分譲、非保有不動産事業を拡大
4519,12月31日,中外製薬株式会社,医薬品,東証1部,ロシュ傘下で成長続ける異色の医薬品大手。抗体・バイオで先行、抗がん剤、骨・関節領域に強い
2587,12月31日,サントリー食品インターナショナル株式会社,食料品,東証1部,サントリーＨＤの中核子会社。国内飲料２位。欧州、東南ア、オセアニア中心に海外展開積極的
8001, 3月31日,伊藤忠商事株式会社,卸売業,東証1部,総合商社大手。非財閥系の雄。繊維や食料、中国に強い。傘下にファミリーマートなどの有力企業
6861, 3月20日,株式会社キーエンス,電気機器,東証1部,ＦＡセンサーなど検出・計測制御機器大手。生産は国内工場軸に外注。持分にジャストシステム
3966,12月末日,株式会社ユーザベース,情報・通信業,マザーズ,ビジネスデータのＳＰＥＥＤＡ、ＳＮＳ型ニュースのＮｅｗｓＰｉｃｋｓ運営。海外に集中投資
2502,12月31日,アサヒグループホールディングス株式会社,食料品,東証1部,ビール類国内シェア首位。総合酒類・飲料メーカー。１２年にカルピスを買収。欧州に進出
6758, 3月31日,ソニー株式会社,電気機器,東証1部,ＡＶ機器大手。海外でブランド力絶大。イメージセンサー、ゲーム、映画・音楽分野に重点
7203, 3月31日,トヨタ自動車株式会社,輸送用機器,東証1部,４輪世界首位級、国内シェア４割超。日野、ダイハツを傘下。ＳＵＢＡＲＵ、マツダ、スズキと提携
2802, 3月31日,味の素株式会社,食料品,東証1部,調味料国内最大手。アミノ酸技術で飼料・医薬など多角化。海外で家庭用食品拡大。Ｍ＆Ａ積極
